product_name,brand,merchant,description,purchase_type,amount,category
McDonald's Sandwich,McDonald's,Zomato,premium sandwich from McDonald's,OFFLINE,156.47,Food & Beverages
HP Printer Paper,HP,Office Depot,daily use printer paper from HP,ONLINE,21617.91,Office
Uniqlo Hoodie,Uniqlo,Lifestyle,wireless hoodie from Uniqlo,ONLINE,9958.99,Fashion
Voltas Air Fryer,Voltas,Home Centre,portable air fryer from Voltas,OFFLINE,95287.71,Home Appliances
Boldfit Massage Gun,Boldfit,Flipkart,durable massage gun from Boldfit,OFFLINE,56248.63,Sports & Fitness
Lenovo Wireless Headphones,Lenovo,Reliance Digital,standard wireless headphones from Lenovo,OFFLINE,154751.92,Electronics
IFB Air Cooler,IFB,Reliance Digital,classic air cooler from IFB,ONLINE,18340.51,Home Appliances
Anker Smart Plug,Anker,Mi Store,new smart plug from Anker,ONLINE,11240.52,Gadgets
Classic Decor Accessory,Classic,Marketplace,durable decor accessory from Classic,OFFLINE,7624.77,Other
Pilot Whiteboard,Pilot,Reliance Smart,professional whiteboard from Pilot,ONLINE,8152.18,Office
Everyday Personal Care Item,Everyday,Amazon,classic personal care item from Everyday,OFFLINE,2255.05,Other
Staedtler Document Scanner,Staedtler,Reliance Smart,classic document scanner from Staedtler,OFFLINE,11119.86,Office
Nivia Workout Gloves,Nivia,Decathlon,standard workout gloves from Nivia,ONLINE,49229.31,Sports & Fitness
Faber-Castell Stapler,Faber-Castell,Local Stationery,standard stapler from Faber-Castell,ONLINE,11744.03,Office
TVS Bike Service,TVS,Hyundai Service,premium bike service from TVS,ONLINE,9236.03,Vehicles
Fitbit Exercise Bike,Fitbit,Amazon,durable exercise bike from Fitbit,OFFLINE,50694.08,Sports & Fitness
Maruti Suzuki Dash Camera,Maruti Suzuki,Honda Service Center,compact dash camera from Maruti Suzuki,ONLINE,9290.79,Vehicles
Cosco Cycling Helmet,Cosco,Flipkart,new cycling helmet from Cosco,OFFLINE,69510.69,Sports
Toyota Wiper Blades,Toyota,Tata Motors,classic wiper blades from Toyota,OFFLINE,53601.02,Vehicles
Urban Decor Accessory,Urban,Flipkart,new decor accessory from Urban,ONLINE,2461.11,Other
Urban Ladder Storage Cabinet,Urban Ladder,IKEA,new storage cabinet from Urban Ladder,OFFLINE,5587.11,Furniture
Honda Brake Pads,Honda,Local Auto Store,classic brake pads from Honda,OFFLINE,52711.17,Vehicles
Mahindra Car Battery,Mahindra,Hyundai Service,durable car battery from Mahindra,OFFLINE,48228.91,Vehicles
Decathlon Protein Shaker,Decathlon,Decathlon,classic protein shaker from Decathlon,OFFLINE,2993.57,Sports & Fitness
TVS Car Service Package,TVS,Bajaj Auto,portable car service package from TVS,OFFLINE,49376.97,Vehicles
Urban Ladder Dining Table,Urban Ladder,Home Centre,new dining table from Urban Ladder,OFFLINE,39396.27,Furniture
Pepperfry Coffee Table,Pepperfry,Local Furniture Store,wireless coffee table from Pepperfry,OFFLINE,70992.87,Furniture
Mahindra Dash Camera,Mahindra,Honda Service Center,compact dash camera from Mahindra,ONLINE,73144.03,Vehicles
McDonald's Biryani,McDonald's,Zomato,new biryani from McDonald's,ONLINE,999.3,Food & Beverages
Subway Sandwich,Subway,Swiggy,new sandwich from Subway,OFFLINE,3289.95,Food & Beverages
Classic Utility Item,Classic,General Store,durable utility item from Classic,ONLINE,8431.89,Other
Decathlon Exercise Mat,Decathlon,Decathlon,portable exercise mat from Decathlon,ONLINE,37920.33,Sports & Fitness
Honda Car Floor Mats,Honda,Local Auto Store,wireless car floor mats from Honda,OFFLINE,38599.17,Vehicles
Nivia Fitness Tracker,Nivia,Cult Store,compact fitness tracker from Nivia,ONLINE,40683.47,Sports & Fitness
Whirlpool Room Heater,Whirlpool,Home Centre,compact room heater from Whirlpool,OFFLINE,107924.64,Home Appliances
KFC Restaurant Dinner,KFC,KFC,wireless restaurant dinner from KFC,OFFLINE,2848.56,Food & Beverages
Haldiram's Pizza,Haldiram's,Local Cafe,daily use pizza from Haldiram's,ONLINE,3936.54,Food & Beverages
Godrej Interio Storage Cabinet,Godrej Interio,Local Furniture Store,daily use storage cabinet from Godrej Interio,ONLINE,78318.82,Furniture
Tata Detergent,Tata,Reliance Smart,daily use detergent from Tata,ONLINE,2341.51,Food & Groceries
Pepperfry Wardrobe,Pepperfry,Urban Ladder,professional wardrobe from Pepperfry,ONLINE,59876.16,Furniture
Britannia Wheat Flour,Britannia,DMart,compact wheat flour from Britannia,ONLINE,1378.88,Food & Groceries
Tata Wheat Flour,Tata,BigBasket,compact wheat flour from Tata,OFFLINE,2804.17,Food & Groceries
Everyday Travel Accessory,Everyday,Marketplace,compact travel accessory from Everyday,ONLINE,8247.86,Other
Logitech Usb Microphone,Logitech,Flipkart,wireless USB microphone from Logitech,OFFLINE,5238.41,Gadgets
Hyundai Engine Oil Service,Hyundai,Tata Motors,classic engine oil service from Hyundai,OFFLINE,4099.8,Vehicles
Acer Smartwatch,Acer,Flipkart,classic smartwatch from Acer,ONLINE,120292.2,Electronics
Nivia Fitness Tracker,Nivia,Decathlon,professional fitness tracker from Nivia,ONLINE,25667.34,Sports & Fitness
Logitech Smart Bulb,Logitech,Amazon,premium smart bulb from Logitech,OFFLINE,3098.02,Gadgets
Nike Skipping Rope,Nike,Amazon,premium skipping rope from Nike,ONLINE,36508.34,Sports
KFC Snack Combo,KFC,Starbucks,professional snack combo from KFC,ONLINE,4457.47,Food & Beverages
Voltas Dishwasher,Voltas,Croma,durable dishwasher from Voltas,ONLINE,51760.54,Home Appliances
Aashirvaad Eggs,Aashirvaad,BigBasket,portable eggs from Aashirvaad,OFFLINE,543.07,Food & Groceries
Godrej Interio Study Table,Godrej Interio,Pepperfry,portable study table from Godrej Interio,ONLINE,54606.55,Furniture
Dove Vegetables,Dove,Reliance Smart,compact vegetables from Dove,OFFLINE,856.46,Food & Groceries
IKEA Dining Table,IKEA,Home Centre,classic dining table from IKEA,OFFLINE,46785.3,Furniture
Garmin Massage Gun,Garmin,Cult Store,premium massage gun from Garmin,OFFLINE,44704.86,Sports & Fitness
Boldfit Gym Bench,Boldfit,Amazon,standard gym bench from Boldfit,OFFLINE,18123.24,Sports & Fitness
ASUS Camera,ASUS,Vijay Sales,portable camera from ASUS,OFFLINE,43511.48,Electronics
Puma Badminton Racket,Puma,Nike Store,portable badminton racket from Puma,ONLINE,52298.11,Sports
Prime Miscellaneous Item,Prime,Local Store,standard miscellaneous item from Prime,OFFLINE,11873.49,Other
Acer Laptop,Acer,Flipkart,classic laptop from Acer,ONLINE,95986.1,Electronics
IKEA Wardrobe,IKEA,IKEA,professional wardrobe from IKEA,OFFLINE,20385.41,Furniture
Domino's Restaurant Dinner,Domino's,Local Cafe,compact restaurant dinner from Domino's,OFFLINE,4457.38,Food & Beverages
Godrej Interio Side Table,Godrej Interio,IKEA,new side table from Godrej Interio,ONLINE,42872.11,Furniture
Urban Key Holder,Urban,General Store,professional key holder from Urban,ONLINE,6176.03,Other
Britannia Bread,Britannia,Local Grocery,classic bread from Britannia,ONLINE,1317.79,Food & Groceries
Fortune Cooking Oil,Fortune,DMart,portable cooking oil from Fortune,ONLINE,5069.86,Food & Groceries
Nivia Foam Roller,Nivia,Amazon,durable foam roller from Nivia,ONLINE,43684.47,Sports & Fitness
Honda Engine Oil Service,Honda,Honda Service Center,wireless engine oil service from Honda,OFFLINE,11719.29,Vehicles
Haldiram's Biryani,Haldiram's,Local Cafe,daily use biryani from Haldiram's,OFFLINE,2342.28,Food & Beverages
boAt Wireless Charger,boAt,Mi Store,compact wireless charger from boAt,OFFLINE,12207.99,Gadgets
Bosch Room Heater,Bosch,Reliance Digital,standard room heater from Bosch,ONLINE,48755.71,Home Appliances
Sony Smartwatch,Sony,Reliance Digital,standard smartwatch from Sony,OFFLINE,93221.53,Electronics
Mahindra Vehicle Insurance Accessory,Mahindra,Local Auto Store,premium vehicle insurance accessory from Mahindra,OFFLINE,60001.08,Vehicles
Toyota Bike Tyre,Toyota,Local Auto Store,daily use bike tyre from Toyota,ONLINE,10765.5,Vehicles
Cafe Coffee Day Pizza,Cafe Coffee Day,KFC,daily use pizza from Cafe Coffee Day,OFFLINE,3682.6,Food & Beverages
Canon Whiteboard,Canon,Office Depot,professional whiteboard from Canon,ONLINE,11135.7,Office
Allen Solly Kurta,Allen Solly,Shoppers Stop,new kurta from Allen Solly,ONLINE,12145.19,Fashion
Voltas Induction Cooktop,Voltas,Home Centre,daily use induction cooktop from Voltas,ONLINE,9598.57,Home Appliances
HP Laptop,HP,Samsung Store,classic laptop from HP,ONLINE,129176.18,Electronics
Generic General Household Item,Generic,Amazon,standard general household item from Generic,OFFLINE,1083.38,Other
Faber-Castell Marker Set,Faber-Castell,Office Depot,wireless marker set from Faber-Castell,OFFLINE,24900.18,Office
Hyundai Helmet,Hyundai,Bajaj Auto,portable helmet from Hyundai,ONLINE,62406.34,Vehicles
Zara Winter Sweater,Zara,Lifestyle,compact winter sweater from Zara,ONLINE,26947.45,Fashion
HP Laptop,HP,Flipkart,portable laptop from HP,OFFLINE,73415.21,Electronics
KFC Snack Combo,KFC,Local Cafe,new snack combo from KFC,ONLINE,3082.76,Food & Beverages
Urban Miscellaneous Item,Urban,Flipkart,standard miscellaneous item from Urban,ONLINE,3016.05,Other
Decathlon Resistance Tube Set,Decathlon,Flipkart,daily use resistance tube set from Decathlon,OFFLINE,59519.15,Sports & Fitness
Honda Wiper Blades,Honda,Tata Motors,daily use wiper blades from Honda,OFFLINE,11826.16,Vehicles
Anker Fast Charger,Anker,Mi Store,compact fast charger from Anker,ONLINE,5098.38,Gadgets
Wakefit Bookshelf,Wakefit,IKEA,new bookshelf from Wakefit,OFFLINE,48710.96,Furniture
boAt Wireless Charger,boAt,Amazon,new wireless charger from boAt,ONLINE,9246.37,Gadgets
Philips Dishwasher,Philips,Reliance Digital,wireless dishwasher from Philips,OFFLINE,16099.69,Home Appliances
Urban Gift Item,Urban,Amazon,durable gift item from Urban,OFFLINE,4426.56,Other
boAt Router,boAt,Reliance Digital,durable router from boAt,ONLINE,14751.22,Gadgets
Noise Router,Noise,Amazon,durable router from Noise,ONLINE,3029.71,Gadgets
Local Brand Gift Item,Local Brand,Flipkart,daily use gift item from Local Brand,OFFLINE,1858.58,Other
Bajaj Helmet,Bajaj,Honda Service Center,new helmet from Bajaj,ONLINE,80147.88,Vehicles
Godrej Water Purifier,Godrej,Vijay Sales,classic water purifier from Godrej,ONLINE,13599.64,Home Appliances
Samsung Washing Machine,Samsung,Croma,standard washing machine from Samsung,OFFLINE,48529.04,Home Appliances
IFB Washing Machine,IFB,Home Centre,classic washing machine from IFB,ONLINE,106872.3,Home Appliances
TP-Link Router,TP-Link,Croma,daily use router from TP-Link,ONLINE,2185.95,Gadgets
Starbucks Snack Combo,Starbucks,Starbucks,daily use snack combo from Starbucks,ONLINE,3647.59,Food & Beverages
Haldiram's Biryani,Haldiram's,Starbucks,new biryani from Haldiram's,ONLINE,4261.59,Food & Beverages
Classic Miscellaneous Item,Classic,General Store,new miscellaneous item from Classic,OFFLINE,6793.73,Other
Hyundai Dash Camera,Hyundai,Tata Motors,standard dash camera from Hyundai,OFFLINE,20763.06,Vehicles
Generic Miscellaneous Purchase,Generic,Amazon,classic miscellaneous purchase from Generic,ONLINE,11623.13,Other
Bajaj Car Floor Mats,Bajaj,Bajaj Auto,compact car floor mats from Bajaj,ONLINE,41897.37,Vehicles
Fitbit Exercise Mat,Fitbit,Flipkart,new exercise mat from Fitbit,OFFLINE,8328.95,Sports & Fitness
Puma Handbag,Puma,Ajio,new handbag from Puma,ONLINE,18224.74,Fashion
Mahindra Brake Pads,Mahindra,Bajaj Auto,classic brake pads from Mahindra,OFFLINE,5219.43,Vehicles
Tata Car Tyre,Tata,Honda Service Center,wireless car tyre from Tata,OFFLINE,47351.34,Vehicles
Faber-Castell Notebook,Faber-Castell,Office Depot,new notebook from Faber-Castell,ONLINE,22268.82,Office
Classmate Calculator,Classmate,Local Stationery,compact calculator from Classmate,ONLINE,20689.09,Office
Urban Ladder Study Table,Urban Ladder,IKEA,durable study table from Urban Ladder,OFFLINE,82648.69,Furniture
Allen Solly Cotton Shirt,Allen Solly,Nike Store,premium cotton shirt from Allen Solly,ONLINE,24228.9,Fashion
Tata Wiper Blades,Tata,Hyundai Service,daily use wiper blades from Tata,OFFLINE,11400.25,Vehicles
Adidas Kurta,Adidas,Amazon,daily use kurta from Adidas,ONLINE,7403.55,Fashion
Mahindra Brake Pads,Mahindra,Bajaj Auto,daily use brake pads from Mahindra,ONLINE,16428.94,Vehicles
Acer Computer Mouse,Acer,Flipkart,compact computer mouse from Acer,OFFLINE,70538.56,Electronics
Toyota Vehicle Insurance Accessory,Toyota,Honda Service Center,wireless vehicle insurance accessory from Toyota,ONLINE,40894.81,Vehicles
Maruti Suzuki Car Battery,Maruti Suzuki,Local Auto Store,new car battery from Maruti Suzuki,OFFLINE,59781.39,Vehicles
Logitech Smart Plug,Logitech,Mi Store,new smart plug from Logitech,ONLINE,5853.42,Gadgets
Aashirvaad Milk,Aashirvaad,Zepto,new milk from Aashirvaad,OFFLINE,5514.68,Food & Groceries
Classic Utility Item,Classic,Local Store,durable utility item from Classic,OFFLINE,5882.56,Other
Local Brand General Household Item,Local Brand,Local Store,portable general household item from Local Brand,ONLINE,3146.25,Other
Puma Badminton Racket,Puma,Flipkart,premium badminton racket from Puma,ONLINE,27849.41,Sports
Boldfit Adjustable Dumbbell Set,Boldfit,Cult Store,new adjustable dumbbell set from Boldfit,ONLINE,11008.53,Sports & Fitness
Samsung Vacuum Cleaner,Samsung,Reliance Digital,compact vacuum cleaner from Samsung,ONLINE,97516.94,Home Appliances
Portronics Usb Microphone,Portronics,Amazon,classic USB microphone from Portronics,ONLINE,8700.25,Gadgets
Generic Storage Box,Generic,Amazon,classic storage box from Generic,OFFLINE,5186.69,Other
Nivia Pull Up Bar,Nivia,Cult Store,portable pull up bar from Nivia,ONLINE,42680.72,Sports & Fitness
Pepperfry Recliner,Pepperfry,Local Furniture Store,durable recliner from Pepperfry,OFFLINE,83580.88,Furniture
Mi Usb Microphone,Mi,Mi Store,professional USB microphone from Mi,OFFLINE,9722.41,Gadgets
Puma Sports Shoes,Puma,Nike Store,standard sports shoes from Puma,OFFLINE,744.76,Sports
Bajaj Car Battery,Bajaj,Hyundai Service,wireless car battery from Bajaj,OFFLINE,69422.7,Vehicles
Biba Cotton Shirt,Biba,Ajio,daily use cotton shirt from Biba,OFFLINE,29459.43,Fashion
Mi Fast Charger,Mi,Amazon,premium fast charger from Mi,OFFLINE,5280.01,Gadgets
Adidas Sports Shoes,Adidas,Decathlon,wireless sports shoes from Adidas,OFFLINE,66919.77,Sports
Acer Wireless Headphones,Acer,Reliance Digital,daily use wireless headphones from Acer,OFFLINE,112902.51,Electronics
Bajaj Car Floor Mats,Bajaj,Honda Service Center,portable car floor mats from Bajaj,ONLINE,60692.3,Vehicles
Nivia Football,Nivia,Sports Station,durable football from Nivia,OFFLINE,31362.61,Sports
OnePlus Computer Mouse,OnePlus,Amazon,classic computer mouse from OnePlus,OFFLINE,14494.37,Electronics
Nivia Exercise Bike,Nivia,Cult Store,daily use exercise bike from Nivia,OFFLINE,46794.83,Sports & Fitness
boAt Smart Plug,boAt,Amazon,new smart plug from boAt,OFFLINE,7012.97,Gadgets
Pepperfry Side Table,Pepperfry,Local Furniture Store,professional side table from Pepperfry,OFFLINE,14348.08,Furniture
Decathlon Skipping Rope,Decathlon,Nike Store,classic skipping rope from Decathlon,ONLINE,65367.07,Sports
Generic Miscellaneous Item,Generic,Local Store,portable miscellaneous item from Generic,OFFLINE,2264.28,Other
Zara Backpack,Zara,Lifestyle,premium backpack from Zara,OFFLINE,23389.58,Fashion
Nivia Basketball,Nivia,Sports Station,professional basketball from Nivia,OFFLINE,67483.98,Sports
Domino's Burger Meal,Domino's,Zomato,durable burger meal from Domino's,OFFLINE,2939.56,Food & Beverages
Classic Miscellaneous Item,Classic,Amazon,new miscellaneous item from Classic,ONLINE,4523.04,Other
Fitbit Workout Gloves,Fitbit,Amazon,standard workout gloves from Fitbit,ONLINE,36046.12,Sports & Fitness
Urban Personal Care Item,Urban,Marketplace,portable personal care item from Urban,OFFLINE,3001.33,Other
